player,age,elo,hardraw,clayraw,grassraw,hard-court-elo-rating,clay-court-elo-rating,grass-court-elo-rating,peak-age,peak-elo,gender
Petra Kvitova,31.6,1957,1857.2,1841.7,1715.6,1907.1,1899.3,1836.3,22.5,2044.2,Female
Paula Badosa,24,1955.8,1789.7,1815.1,1494.9,1872.8,1885.5,1725.4,24,1956.8,Female
Ons Jabeur,27.1,1953.2,1826.6,1694.5,1734.9,1889.9,1823.9,1844.1,27.1,1974.8,Female
Iga Swiatek,20.4,1946.5,1781.4,1937.4,1588,1863.9,1941.9,1767.3,20,2014.4,Female
Elina Svitolina,27.1,1942,1858.6,1810.1,1526.2,1900.3,1876.1,1734.1,23.7,2036.8,Female
Angelique Kerber,33.8,1912.4,1790.5,1718.1,1811.8,1851.5,1815.3,1862.1,28.8,2055.4,Female
Belinda Bencic,24.7,1907.8,1839.2,1632.6,1679.3,1873.5,1770.2,1793.5,18.9,1991.3,Female
Cori Gauff,17.6,1907.7,1741.6,1810.1,1728.8,1824.6,1858.9,1818.3,17.2,1970.4,Female
Jennifer Brady,26.3,1907.5,1817,1584,1499,1862.3,1745.8,1703.3,25.8,1925,Female
Barbora Krejcikova,25.9,1905.5,1743.2,1800.2,1435.3,1824.3,1852.8,1670.4,25.8,1966,Female
Jessica Pegula,27.6,1902.9,1831.6,1515.4,1418.2,1867.3,1709.2,1660.6,27.6,1910.3,Female
Marketa Vondrousova,22.4,1895.1,1827.5,1702.4,1320.9,1861.3,1798.8,1608,19.9,1969.4,Female
Serena Williams,39.7,1895.1,1794,1559.6,1500.9,1844.5,1727.3,1698,33.9,2259.9,Female
Elena Rybakina,22.3,1894.5,1777.5,1681.6,1688.5,1836,1788,1791.5,20.7,1938.3,Female
Elise Mertens,26,1888.2,1819,1760.9,1532.2,1853.6,1824.6,1710.2,25.4,1984.4,Female
Jelena Ostapenko,24.3,1885.7,1747.1,1675.8,1749.3,1816.4,1780.8,1817.5,20.3,1921.9,Female
Emma Raducanu,19,1876.6,1816.6,1230,1478,1846.6,1553.3,1677.3,18.8,1963.6,Female
Kiki Bertens,29.6,1871.4,1784.2,1824.7,1563.3,1827.8,1848,1717.4,28.2,1984.2,Female
Clara Tauson,18.8,1868.2,1840,1567.9,1254.6,1854.1,1718,1561.4,18.8,1889,Female
Sofia Kenin,22.6,1868.1,1804.8,1635.1,1621.4,1836.4,1751.6,1744.7,21.2,1974.1,Female
Karolina Muchova,25,1862.7,1742.5,1624.9,1604.2,1802.6,1743.8,1733.4,24.5,1930.6,Female
Darya Kasatkina,24.5,1862,1780,1673.8,1624.8,1821,1767.9,1743.4,20.8,1955.5,Female
Leylah Annie Fernandez,19.1,1858.6,1808.7,1463.6,1415.5,1833.6,1661.1,1637,19.1,1877.1,Female
Anastasia Pavlyuchenkova,30.3,1856.8,1751.7,1735.5,1479.5,1804.2,1796.2,1668.2,19.9,1938.8,Female
Camila Giorgi,29.8,1853.2,1736.1,1624,1626.5,1794.7,1738.6,1739.9,29.6,1886.3,Female
Madison Keys,26.6,1843.8,1762.4,1715.6,1674,1803.1,1779.7,1758.9,21.5,1986.7,Female
Ludmilla Samsonova,23,1843.5,1748.4,1459.5,1740.4,1795.9,1651.5,1792,23,1843.5,Female
Veronika Kudermetova,24.5,1825.7,1712.9,1760.8,1536.4,1769.3,1793.2,1681,24.1,1907.7,Female
Yulia Putintseva,26.7,1819.6,1721.1,1686.2,1447.3,1770.3,1752.9,1633.5,26.1,1853,Female
Bianca Andreescu,21.3,1817.7,1774.5,1549.9,1409.5,1796.1,1683.8,1613.6,19.3,2030.4,Female
Johanna Konta,30.3,1813.8,1694.3,1600.9,1656.8,1754,1707.4,1735.3,25.9,1991.5,Female
Ekaterina Alexandrova,27,1813.2,1727.7,1575.3,1536.9,1770.4,1694.2,1675,25.2,1900.4,Female
Sara Sorribes Tormo,25.1,1806.1,1715.6,1641.8,1520.5,1760.9,1724,1663.3,24.9,1847,Female
Amanda Anisimova,20.1,1804.2,1726.8,1675.1,1422.4,1765.5,1739.7,1613.3,17.8,1864.9,Female
Katerina Siniakova,25.4,1800.4,1634.3,1698.2,1589.8,1717.4,1749.3,1695.1,20.6,1844.6,Female
Marta Kostyuk,19.3,1792,1668.7,1694.5,1470.7,1730.3,1743.3,1631.4,19.2,1815.3,Female
Carla Suarez Navarro,33.2,1785.2,1700.6,1732.8,1521.1,1742.9,1759,1653.1,26.7,1997,Female
Donna Vekic,25.3,1785.1,1697.9,1598.8,1568.8,1741.5,1692,1677,23.2,1886.3,Female
Jil Belen Teichmann,24.3,1784.1,1716.4,1628.5,1242.2,1750.2,1706.3,1513.2,24.2,1828.5,Female
Alison Van Uytvanck,27.7,1784,1716.2,1522.7,1595.1,1750.1,1653.4,1689.5,24.9,1801.6,Female
Shelby Rogers,29.1,1783.6,1715.7,1576.4,1506.4,1749.6,1680,1645,28.5,1815.5,Female
Ajla Tomljanovic,28.5,1783.4,1655.1,1621.2,1597.1,1719.2,1702.3,1690.2,26,1809.2,Female
Ann Li,21.3,1783.3,1732.6,1527.9,1179.4,1758,1655.6,1481.4,20.7,1811.7,Female
Vera Zvonareva,37.3,1782.5,1680.9,1579,1570.4,1731.7,1680.7,1676.4,24.5,2051.5,Female
Sloane Stephens,28.6,1781.7,1630.2,1750.4,1614.3,1705.9,1766,1698,24.4,1940.1,Female
Anastasija Sevastova,31.5,1776.8,1639.4,1700.5,1598.7,1708.1,1738.7,1687.8,28.5,1917.6,Female
Alison Riske,31.4,1772.7,1676.7,1436.3,1680,1724.7,1604.5,1726.3,29.5,1845.9,Female
Svetlana Kuznetsova,36,1771.7,1712.6,1614.9,1443,1742.2,1693.3,1607.4,22.3,2068.7,Female
Alize Cornet,31.8,1769.6,1670.8,1605.7,1507.8,1720.2,1687.7,1638.7,18.6,1854.9,Female
Venus Williams,41.2,1768.2,1701.6,1482.8,1561.2,1734.9,1625.5,1664.7,21.2,2272.3,Female
Tereza Martincova,27,1767.7,1676.8,1451.1,1535.4,1722.3,1609.4,1651.6,26.9,1777.4,Female
Sorana Cirstea,31.5,1767.4,1653.5,1642.4,1441.8,1710.4,1704.9,1604.6,23.4,1825,Female
Laura Siegemund,33.4,1764.4,1653,1680.1,1370.9,1708.7,1722.2,1567.6,29.2,1840.2,Female
Irina Camelia Begu,31.2,1764.1,1672.8,1650.1,1387,1718.5,1707.1,1575.5,25.7,1850.9,Female
Qiang Wang,29.5,1764,1678.6,1601.3,1421.3,1721.3,1682.6,1592.6,26.8,1896.9,Female
Kaia Kanepi,36.3,1762.8,1700.8,1625.3,1444.5,1731.8,1694,1603.6,28,1921.8,Female
Lesia Tsurenko,32.5,1758.8,1676.9,1577.2,1522.4,1717.9,1668,1640.6,29.6,1878.1,Female
Viktorija Golubic,29.1,1755.4,1640.4,1544.3,1595.5,1697.9,1649.9,1675.5,28.7,1786,Female
Elena Vesnina,35,1755.3,1668.9,1601.6,1630.2,1712.1,1678.4,1692.7,27,1856.1,Female
Ana Konjuh,23.8,1754.2,1636.6,1658.1,1616.5,1695.4,1706.2,1685.4,19.5,1827.6,Female
Petra Martic,30.8,1754.2,1627.3,1718.6,1556.2,1690.7,1736.4,1655.2,28.7,1908,Female
Dayana Yastremska,21.5,1753.5,1642.7,1708,1551.1,1698.1,1730.8,1652.3,18.7,1902.8,Female
Tsvetana Pironkova,34,1750.4,1658.8,1516.5,1576.4,1704.6,1633.5,1663.4,28.8,1781.8,Female
Magda Linette,29.6,1747.9,1677.8,1472.1,1455.1,1712.9,1610,1601.5,28.5,1776.3,Female
Aliaksandra Sasnovich,27.6,1745,1679.8,1557,1401.2,1712.4,1651,1573.1,24.8,1870.9,Female
Caroline Garcia,28.2,1744.2,1651.2,1693.1,1560.8,1697.7,1718.7,1652.5,24.6,1962.4,Female
Maria Camila Osorio Serrano,19.8,1742.7,1536.8,1653.1,1637,1639.8,1697.9,1689.9,19.8,1758.1,Female
Jasmine Paolini,25.8,1741.8,1624.9,1620.7,1199.8,1683.4,1681.2,1470.8,25.8,1745.2,Female
Su Wei Hsieh,35.8,1741.2,1681.6,1523.8,1552.3,1711.4,1632.5,1646.8,33.3,1835.4,Female
Anna Kalinskaya,22.9,1739.5,1682.2,1472.2,1484.7,1710.8,1605.8,1612.1,22.9,1748.5,Female
Rebecca Peterson,26.3,1737.2,1673.9,1585.3,1419.2,1705.5,1661.2,1578.2,24.2,1839.8,Female
Tamara Zidansek,23.8,1735.8,1493.9,1770.1,1381.1,1614.9,1752.9,1558.4,21.5,1786.9,Female
Elena Gabriela Ruse,24,1727,1612.4,1596.7,1601,1669.7,1661.8,1664,23.9,1742.7,Female
Nadia Podoroska,24.6,1726.9,1561,1660.9,1406.7,1643.9,1693.9,1566.8,24,1789.8,Female
Anhelina Kalinina,24.8,1723.7,1581.2,1669.2,1272.6,1652.4,1696.4,1498.2,24.7,1748,Female
Zarina Diyas,28,1718.8,1675.9,1522.6,1498.2,1697.3,1620.7,1608.5,26.3,1779.5,Female
Saisai Zheng,27.8,1718.4,1631.5,1549.1,1379.3,1674.9,1633.8,1548.9,26.1,1786.5,Female
Shuai Zhang,32.9,1717.3,1631,1538.2,1533.1,1674.1,1627.7,1625.2,28.9,1805.2,Female
Daria Gavrilova,27.7,1716.2,1672.9,1589.6,1398.8,1694.5,1652.9,1557.5,23.1,1902.3,Female
Andrea Petkovic,34.1,1716.1,1630.2,1632.1,1430.3,1673.2,1674.1,1573.2,24.3,1958.7,Female
Fiona Ferro,24.7,1706,1552,1693.7,1340.4,1629,1699.8,1523.2,24,1780.6,Female
Kristina Mladenovic,28.6,1703.4,1613.7,1660.3,1540.2,1658.5,1681.8,1621.8,24,1895.7,Female
Anastasia Potapova,20.6,1702.6,1624.1,1572.7,1498.5,1663.3,1637.7,1600.6,19.9,1760.8,Female
Katie Boulter,25.2,1701.4,1564.7,1475,1549,1633,1588.2,1625.2,25.1,1767.2,Female
Kirsten Flipkens,35.8,1700.6,1614.9,1487.9,1595.7,1657.7,1594.2,1648.1,27.6,1840.1,Female
Anna Karolina Schmiedlova,27.1,1699.1,1564.6,1628.2,1275.7,1631.9,1663.7,1487.4,20.9,1853.4,Female
Arantxa Rus,30.9,1696.4,1571.9,1627.7,1381.6,1634.2,1662.1,1539,30.8,1711.4,Female
Xin Yu Wang,20.2,1696.1,1627.6,1366.1,1555.3,1661.8,1531.1,1625.7,20.1,1734.6,Female
Jaqueline Adina Cristian,23.4,1688.9,1623.4,1513,1174.1,1656.2,1601,1431.5,23.4,1700.7,Female
Magdalena Frech,23.9,1688.8,1586.1,1569.3,1418.9,1637.5,1629,1553.9,23.9,1696.9,Female
Marie Bouzkova,23.2,1686.5,1624.2,1374.9,1462.2,1655.4,1530.7,1574.4,22.6,1793.4,Female
Eugenie Bouchard,27,1683.7,1566.1,1690.7,1467.7,1624.9,1687.2,1575.7,20.3,1921.6,Female
Mihaela Buzarnescu,33.5,1682.5,1573.1,1604.8,1530.5,1627.8,1643.7,1606.5,30.3,1892.4,Female
Madison Brengle,31.6,1682.1,1627.7,1531.7,1454,1654.9,1606.9,1568,26,1776.3,Female
Margarita Gasparyan,26.7,1681.7,1644.7,1431.1,1535.2,1663.2,1556.4,1608.5,24.8,1799.9,Female
Monica Niculescu,34,1680.2,1565.2,1577.7,1550.6,1622.7,1628.9,1615.4,29.3,1800.8,Female
Lauren Davis,28,1676.8,1593.1,1566.6,1475.5,1634.9,1621.7,1576.1,23.4,1819.5,Female
Jule Niemeier,22.1,1676.7,1504.7,1587.3,1518.1,1590.7,1632,1597.4,21.9,1730.1,Female
Coco Vandeweghe,29.8,1671.5,1548.8,1582.5,1660,1610.2,1627,1665.8,25.9,1913.3,Female
Ana Bogdan,29,1670.9,1583.3,1564.2,1427.8,1627.1,1617.5,1549.3,25.7,1732.9,Female
Kateryna Kozlova,27.7,1670.6,1563.8,1610.7,1360.5,1617.2,1640.6,1515.5,21.7,1772.9,Female
Mayar Sherif,25.5,1669.8,1416.1,1673.5,1456.4,1542.9,1671.6,1563.1,25.4,1692.3,Female
Clara Burel,20.7,1663.8,1535.1,1595.5,1571,1599.4,1629.6,1617.4,20.3,1744.6,Female
Bernarda Pera,26.9,1663.6,1531.6,1638.5,1366,1597.6,1651.1,1514.8,25.2,1745.7,Female
Martina Trevisan,28,1657.1,1494.1,1619.2,1135.5,1575.6,1638.1,1396.3,27.9,1679.1,Female
Beatriz Haddad Maia,25.5,1656.4,1603.5,1571.5,1508.9,1630,1614,1582.7,21.3,1763.5,Female
Kristyna Pliskova,29.5,1654.1,1549.7,1569.3,1523.5,1601.9,1611.7,1588.8,26.2,1756.3,Female
Varvara Gracheva,21.4,1652.4,1564.1,1499.3,1339.5,1608.2,1575.8,1495.9,19.2,1727.9,Female
Polona Hercog,30.9,1652.2,1517.1,1649.4,1467.6,1584.6,1650.8,1559.9,20.7,1799,Female
Greetje Minnen,24.3,1650.5,1572.1,1449.9,1584.2,1611.3,1550.2,1617.3,22.5,1734.7,Female
Claire Liu,21.4,1650.2,1469,1578.5,1503.6,1559.6,1614.4,1576.9,21.2,1683.7,Female
Varvara Lepchenko,35.2,1650,1537.9,1584.4,1406.5,1593.9,1617.2,1528.2,28.7,1808.6,Female
Anna Bondar,24.5,1648.6,1473.2,1603.4,1331.8,1560.9,1626,1490.2,24.5,1670.5,Female
Bethanie Mattek Sands,36.5,1648.2,1559.1,1583,1532.2,1603.6,1615.6,1590.2,28.2,1814.4,Female
Lin Zhu,27.9,1648.1,1600.3,1050.2,1282.9,1624.2,1349.2,1465.5,25.1,1731.5,Female
Vitalia Diatchenko,31.4,1647.9,1573.2,1423.7,1525.1,1610.6,1535.8,1586.5,24.3,1763.2,Female
Nina Stojanovic,25.4,1647.8,1551.2,1539.6,1454.3,1599.5,1593.7,1551,23.2,1690.6,Female
Nuria Parrizas Diaz,30.3,1646.2,1498.8,1580.2,1486,1572.5,1613.2,1566.1,30.2,1694.6,Female
Aleksandra Krunic,28.7,1645.6,1537.2,1588.1,1550,1591.4,1616.8,1597.8,25.5,1756.6,Female
Misaki Doi,30.5,1643.6,1561.1,1503.4,1452.3,1602.3,1573.5,1547.9,25.2,1752,Female
Patricia Maria Tig,26.9,1643.3,1499.5,1607.8,1112.7,1571.4,1625.5,1378,26.2,1696.6,Female
Elisabetta Cocciaretto,20.5,1642.9,1612.3,1542.8,1500,1627.6,1592.9,1571.5,19.6,1767.2,Female
Samantha Stosur,37.4,1642.7,1523.3,1699.7,1479.5,1583,1671.2,1561.1,26.2,1992.8,Female
Oceane Dodin,25.1,1641.9,1595.8,1492.1,1452.9,1618.8,1567,1547.4,20.1,1729.3,Female
Maryna Zanevska,28.2,1641.1,1555.2,1591.9,1230.3,1598.2,1616.5,1435.7,23.2,1690,Female
Heather Watson,29.4,1639.8,1574.2,1477.4,1475.3,1607,1558.6,1557.6,22.7,1845.9,Female
Sara Errani,34.4,1634.4,1571.3,1592.9,1317.9,1602.9,1613.6,1476.1,26.1,1969.3,Female
Storm Sanders,27.2,1632.6,1540.3,1537.3,1403.3,1586.4,1584.9,1517.9,26.9,1646.9,Female
Kaja Juvan,20.9,1630.9,1559.4,1483.3,1633,1595.2,1557.1,1631.9,19.7,1720.3,Female
Harriet Dart,25.3,1630.2,1561.6,1460.9,1398.9,1595.9,1545.6,1514.6,25.2,1663.3,Female
Alexandra Dulgheru,32.2,1629.8,1508.9,1573.6,1526.8,1569.4,1601.7,1578.3,21.1,1837.6,Female
Aliona Bolsova,24,1625.4,1568.1,1504.2,1221.1,1596.7,1564.8,1423.2,21.6,1670.4,Female
Qinwen Zheng,19.1,1623.3,1432.9,1609.4,-,1528.1,1616.4,1486.7,19,1674.4,Female
Harmony Tan,24.2,1622.3,1547.2,1431.8,1294.4,1584.8,1527,1458.4,23.8,1646.3,Female
Danka Kovinic,26.9,1620.4,1424.8,1634.9,1164.7,1522.6,1627.6,1392.5,20.5,1741.9,Female
Astra Sharma,26.1,1617.2,1516.2,1564.6,1278.4,1566.7,1590.9,1447.8,25.7,1646.3,Female
Xiyu Wang,20.6,1615.2,1529.6,1553,1438,1572.4,1584.1,1526.6,18.9,1722,Female
Olga Danilovic,20.8,1614.3,1535.6,1556.2,1232.7,1575,1585.3,1423.5,17,1773.7,Female
Kristina Kucova,31.5,1614,1527.4,1543.5,1212.9,1570.7,1578.7,1413.4,29.1,1661.7,Female
